pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,33,33,8,v,0,0.526114100124687,None,,,,,8,33,33,2,340.7139153999742,,340.698172000004,340.7139153999742,341.6974021999631,341.6974021999631,341.6974021999631,341.6974021999631,341.7139388998039,342.69748119986616,342.69748119986616,343.23145639989525,,,,,v,0,0.526114100124687,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
150,v,34,34,9,v,1,0.5496596999000758,None,,,,,9,34,34,1,343.24720809981227,,343.23202069988474,343.24720809981227,344.2308513999451,344.2308513999451,344.2308513999451,344.2308513999451,344.24757059989497,345.2306071999483,345.2306071999483,345.7812261998188,,,,,v,1,0.5496596999000758,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
150,v,35,35,10,v,1,0.5180393999908119,None,,,,,10,35,35,1,345.79724149988033,,345.7818006000016,345.79724149988033,346.78051369986497,346.78051369986497,346.78051369986497,346.78051369986497,346.79739919980057,347.7804393998813,347.7804393998813,348.3149233998265,,,,,v,1,0.5180393999908119,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-150,z,36,36,9,z,1,0.5796757999341935,None,,,,,9,36,36,3,348.33053019992076,,348.3155586000066,348.33053019992076,349.31394319981337,349.31394319981337,349.31394319981337,349.31394319981337,349.3308507998008,350.33057619980536,350.33057619980536,350.914638399845,,,,,z,1,0.5796757999341935,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-150,z,37,37,10,z,1,0.7277036998420954,None,,,,,10,37,37,3,350.93082209979184,,350.9152825998608,350.93082209979184,351.9139409000054,351.9139409000054,351.9139409000054,351.9139409000054,351.9308149998542,352.9141504999716,352.9141504999716,353.64818409993313,,,,,z,1,0.7277036998420954,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
50,c,38,38,9,c,1,0.6953489000443369,None,,,,,9,38,38,2,353.6642292998731,,353.64873569994234,353.6642292998731,354.64763889997266,354.64763889997266,354.64763889997266,354.64763889997266,354.6640321998857,355.64738759980537,355.64738759980537,356.3483326998539,,,,,c,1,0.6953489000443369,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-50,x,39,39,7,x,1,0.33885199995711446,None,,,,,7,39,39,0,356.3643176998012,,356.3489272999577,356.3643176998012,357.36373019986786,357.36373019986786,357.36373019986786,357.36373019986786,357.36373019986786,358.36396229988895,358.36396229988895,358.71495900000446,,,,,x,1,0.33885199995711446,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-50,x,40,40,8,x,1,0.5318467000033706,None,,,,,8,40,40,0,358.7302891998552,,358.7156637997832,358.7302891998552,359.7139562999364,359.7139562999364,359.7139562999364,359.7139562999364,359.7303767998237,360.7302513998002,360.7302513998002,361.2645649998449,,,,,x,1,0.5318467000033706,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-150,z,41,41,11,z,1,0.4887274999637157,None,,,,,11,41,41,3,361.28052999987267,,361.26515679992735,361.28052999987267,362.26383369998075,362.26383369998075,362.26383369998075,362.26383369998075,362.28044859995134,363.2808146998286,363.2808146998286,363.7814952998888,,,,,z,1,0.4887274999637157,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
150,v,42,42,11,v,1,0.3420057001058012,None,,,,,11,42,42,1,363.7972795998212,,363.78218429978006,363.7972795998212,364.7803565999493,364.7803565999493,364.7803565999493,364.7803565999493,364.7975172000006,365.7808626999613,365.7808626999613,366.1314589998219,,,,,v,1,0.3420057001058012,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
50,c,43,43,10,c,1,0.6764134999830276,None,,,,,10,43,43,2,366.14722079993226,,366.13204649998806,366.14722079993226,367.14712219987996,367.14712219987996,367.14712219987996,367.14712219987996,367.14712219987996,368.1306848998647,368.1306848998647,368.8147215999197,,,,,c,1,0.6764134999830276,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-150,z,44,44,12,z,1,0.5361214000731707,None,,,,,12,44,44,3,368.8302044000011,,368.81552689988166,368.8302044000011,369.8139272998087,369.8139272998087,369.8139272998087,369.8139272998087,369.83047869987786,370.8140242998488,370.8140242998488,371.3648976997938,,,,,z,1,0.5361214000731707,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
